36801 1.97039  -50.5805
36901 1.98449  -50.5952
37001 1.99886  -50.5824
37101 2.01012  -50.579
37201 1.9853  -50.5736
37301 1.9809  -50.6251
37401 1.98466  -50.6144
37501 1.95294  -50.6361
37601 1.98245  -50.6442
37701 1.97265  -50.6129
37801 2.0034  -50.6128
37901 1.9732  -50.6303
38001 1.96805  -50.637
38101 1.96277  -50.6381
38201 1.96479  -50.6839
38301 1.96956  -50.6804
38401 1.97484  -50.6945
38501 1.99808  -50.7247
38601 1.98781  -50.7219
38701 1.97024  -50.7222
38801 2.01591  -50.7211
38901 2.01024  -50.7299
39001 1.99654  -50.7095
39101 1.99338  -50.757
39201 2.01888  -50.7414
39301 2.02482  -50.7623
39401 1.99145  -50.7579
39501 1.98853  -50.8109
39601 2.00714  -50.8316
39701 2.00217  -50.8048
39801 1.99236  -50.8585
39901 1.97925  -50.8065
40001 2.01342  -50.7945
40101 2.02443  -50.7594
40201 2.00957  -50.7621
40301 1.98199  -50.7373
40401 2.00805  -50.7542
40501 2.01669  -50.7775
40601 2.0152  -50.8318
40701 2.04122  -50.8115
40801 2.01581  -50.8453
40901 2.04512  -50.8437
41001 2.03199  -50.8373
41101 2.02029  -50.8576
41201 2.00899  -50.8497
41301 1.96755  -50.8578
41401 1.97687  -50.8671
41501 1.98348  -50.8875
41601 1.97371  -50.8662
41701 1.99549  -50.9173
41801 1.98897  -50.9054
41901 1.96329  -50.8915
42001 2.00277  -50.8913
42101 2.00655  -50.8809
42201 2.01948  -50.8987
42301 1.99244  -50.9353
42401 1.98889  -50.9422
42501 1.97394  -50.9512
42601 1.97209  -50.9965
42701 1.95315  -50.9441
42801 2.01337  -50.9864
42901 1.9842  -50.9807
43001 1.97316  -50.969
43101 1.99103  -50.9909
43201 1.982  -51.0298
43301 1.98767  -51.0358
43401 1.99213  -51.0579
43501 2.03072  -51.0893
43601 2.00588  -51.1018
43701 1.99097  -51.1416
43801 2.04185  -51.1818
43901 1.99243  -51.171
44001 2.03335  -51.1844
44101 2.03769  -51.1658
44201 2.05888  -51.1619
44301 2.0407  -51.1565
44401 2.03707  -51.2162
44501 2.01465  -51.2631
44601 2.02276  -51.2737
44701 2.02487  -51.258
44801 2.05242  -51.2445
44901 2.02596  -51.2388
45001 2.01477  -51.2287
45101 2.01116  -51.2583
45201 2.02737  -51.2644
45301 2.03942  -51.3023
45401 2.03901  -51.3166
45501 2.02621  -51.3165
45601 2.03424  -51.344
45701 2.04264  -51.3415
45801 2.0124  -51.3288
45901 2.02175  -51.3104
46001 1.99399  -51.3166
46101 2.01415  -51.3182
46201 1.99293  -51.3409
46301 2.01032  -51.3665
46401 2.01082  -51.3914
46501 2.03145  -51.4308
46601 2.02142  -51.437
46701 2.03693  -51.4511
46801 2.0032  -51.4346
46901 2.02293  -51.422
47001 2.03224  -51.416
47101 2.03997  -51.428
47201 2.04983  -51.4137
47301 2.03199  -51.4
47401 2.02943  -51.4007
47501 2.04444  -51.4129
47601 2.0204  -51.4469
47701 2.04899  -51.4797
47801 2.03826  -51.4803
47901 2.05404  -51.5093
48001 2.01141  -51.4822
48101 2.03259  -51.5438
48201 2.0505  -51.5424
48301 2.07291  -51.5304
48401 2.05451  -51.5162
